Census Tract,FIPS Code,Formatted FIPS,% on SNAP 
"36085024800, NY",36085024800,36085024800,4.04
"36085001800, NY",36085001800,36085001800,7.19
"36047044900, NY",36047044900,36047044900,46.11
"36081097203, NY",36081097203,36081097203,67.31
"36005027600, NY",36005027600,36005027600,0
"36085024401, NY",36085024401,36085024401,1.46
"36081148300, NY",36081148300,36081148300,8.61
"36081064102, NY",36081064102,36081064102,N/A
"36081088400, NY",36081088400,36081088400,8.55
"36005046201, NY",36005046201,36005046201,9.65
"36085011201, NY",36085011201,36085011201,4.63
"36005009000, NY",36005009000,36005009000,45.57
"36061009900, NY",36061009900,36061009900,3.39
"36081093800, NY",36081093800,36081093800,21.94
"36085020803, NY",36085020803,36085020803,2.86
"36085029103, NY",36085029103,36085029103,6.02
"36081128300, NY",36081128300,36081128300,0
"36061029700, NY",36061029700,36061029700,N/A
"36047017500, NY",36047017500,36047017500,N/A
"36085012806, NY",36085012806,36085012806,10.12
"36005011700, NY",36005011700,36005011700,40.05
"36047033600, NY",36047033600,36047033600,10.24
"36085014606, NY",36085014606,36085014606,3.97
"36081097202, NY",36081097202,36081097202,56.75
"36085014700, NY",36085014700,36085014700,1.96
"36081092800, NY",36081092800,36081092800,0
"36081019900, NY",36081019900,36081019900,14.17
"36047061600, NY",36047061600,36047061600,0
"36005013200, NY",36005013200,36005013200,9.04
"36085009700, NY",36085009700,36085009700,5.79
"36061028700, NY",36061028700,36061028700,25.47
"36081109300, NY",36081109300,36081109300,7.08
"36081094203, NY",36081094203,36081094203,26.26
"36085029104, NY",36085029104,36085029104,10.22
"36005000400, NY",36005000400,36005000400,21.11
"36081098100, NY",36081098100,36081098100,5.67
"36081099100, NY",36081099100,36081099100,3.09
"36085017005, NY",36085017005,36085017005,4.4
"36085020700, NY",36085020700,36085020700,30.14
"36081093900, NY",36081093900,36081093900,5.42
"36085017007, NY",36085017007,36085017007,2.32
"36085027702, NY",36085027702,36085027702,9.28
"36081096400, NY",36081096400,36081096400,19.28
"36081155102, NY",36081155102,36081155102,1.76
"36047016400, NY",36047016400,36047016400,20.62
"36085015601, NY",36085015601,36085015601,0.92
"36081156700, NY",36081156700,36081156700,10.49
"36081152901, NY",36081152901,36081152901,8.84
"36047054300, NY",36047054300,36047054300,0
"36085013800, NY",36085013800,36085013800,6.28
"36085022300, NY",36085022300,36085022300,9.52
"36081107201, NY",36081107201,36081107201,9.85
"36081021900, NY",36081021900,36081021900,N/A
"36085005900, NY",36085005900,36085005900,8.13
"36005000200, NY",36005000200,36005000200,24.98
"36081095400, NY",36081095400,36081095400,23.65
"36081098700, NY",36081098700,36081098700,3.05
"36081000100, NY",36081000100,36081000100,2.75
"36085012805, NY",36085012805,36085012805,5.37
"36081022900, NY",36081022900,36081022900,N/A
"36081092200, NY",36081092200,36081092200,0
"36081030600, NY",36081030600,36081030600,26.23
"36085020804, NY",36085020804,36085020804,1.9
"36047031400, NY",36047031400,36047031400,17.72
"36081017100, NY",36081017100,36081017100,N/A
"36047070201, NY",36047070201,36047070201,3.26
"36081157101, NY",36081157101,36081157101,6.72
"36047004400, NY",36047004400,36047004400,0.95
"36085012804, NY",36085012804,36085012804,11.9
"36047102800, NY",36047102800,36047102800,20.64
"36005027402, NY",36005027402,36005027402,4.09
"36081100802, NY",36081100802,36081100802,23.89
"36085004000, NY",36085004000,36085004000,33.95
"36081006202, NY",36081006202,36081006202,15.16
"36005040900, NY",36005040900,36005040900,11.63
"36085025100, NY",36085025100,36085025100,6.85
"36081094202, NY",36081094202,36081094202,34.39
"36085000700, NY",36085000700,36085000700,34.44
"36061027500, NY",36061027500,36061027500,9.19
"36061006200, NY",36061006200,36061006200,1.61
"36085014604, NY",36085014604,36085014604,6.86
"36005028400, NY",36005028400,36005028400,100
"36081099802, NY",36081099802,36081099802,43.14
"36061016200, NY",36061016200,36061016200,31.31
"36085017010, NY",36085017010,36085017010,5.8
"36081086400, NY",36081086400,36081086400,14.08
"36047122000, NY",36047122000,36047122000,22.09
"36085018901, NY",36085018901,36085018901,12.4
"36085017009, NY",36085017009,36085017009,3.8
"36081127700, NY",36081127700,36081127700,2.26
"36081134700, NY",36081134700,36081134700,12.42
"36081029400, NY",36081029400,36081029400,16.78
"36081093401, NY",36081093401,36081093401,5.75
"36081032000, NY",36081032000,36081032000,17.06
"36061031100, NY",36061031100,36061031100,N/A
"36081138501, NY",36081138501,36081138501,8.45
"36081152902, NY",36081152902,36081152902,5.28
"36061025500, NY",36061025500,36061025500,21.69
"36085013204, NY",36085013204,36085013204,9.65
"36047062800, NY",36047062800,36047062800,5.55
"36085017008, NY",36085017008,36085017008,6.57
"36081121100, NY",36081121100,36081121100,N/A
"36005006300, NY",36005006300,36005006300,36.25
"36005029301, NY",36005029301,36005029301,0
"36085013203, NY",36085013203,36085013203,7.47
"36085008100, NY",36085008100,36085008100,22.55
"36085018702, NY",36085018702,36085018702,7.42
"36085027302, NY",36085027302,36085027302,4.67
"36081101001, NY",36081101001,36081101001,40.65
"36081080900, NY",36081080900,36081080900,7.51
"36081129102, NY",36081129102,36081129102,1.75
"36085015100, NY",36085015100,36085015100,0
"36085017012, NY",36085017012,36085017012,3.79
"36081101700, NY",36081101700,36081101700,8.94
"36085031902, NY",36085031902,36085031902,33.08
"36085007400, NY",36085007400,36085007400,17.53
"36005046202, NY",36005046202,36005046202,38.71
"36081099701, NY",36081099701,36081099701,10.3
"36081100801, NY",36081100801,36081100801,17.41
"36085006700, NY",36085006700,36085006700,1.16
"36061029900, NY",36061029900,36061029900,59.42
"36005002400, NY",36005002400,36005002400,0
"36081157901, NY",36081157901,36081157901,6.07
"36081147900, NY",36081147900,36081147900,2.39
"36047015400, NY",36047015400,36047015400,N/A
"36085030302, NY",36085030302,36085030302,18.01
"36081099200, NY",36081099200,36081099200,52.35
"36081044400, NY",36081044400,36081044400,27.84
"36081111300, NY",36081111300,36081111300,8.86
"36081141700, NY",36081141700,36081141700,5.9
"36085004700, NY",36085004700,36085004700,6.41
"36047103400, NY",36047103400,36047103400,46.79
"36081001900, NY",36081001900,36081001900,0
"36005019400, NY",36005019400,36005019400,27.99
"36085014605, NY",36085014605,36085014605,4.81
"36081150701, NY",36081150701,36081150701,0
"36081103900, NY",36081103900,36081103900,15.1
"36085015602, NY",36085015602,36085015602,3.8
"36061004400, NY",36061004400,36061004400,1.54
"36081079300, NY",36081079300,36081079300,N/A
"36081150702, NY",36081150702,36081150702,5.63
"36081093402, NY",36081093402,36081093402,14.5
"36047069602, NY",36047069602,36047069602,14.64
"36047109800, NY",36047109800,36047109800,42.41
"36085003300, NY",36085003300,36085003300,9.68
"36081056800, NY",36081056800,36081056800,16.67
"36085013400, NY",36085013400,36085013400,9.2
"36085013302, NY",36085013302,36085013302,34.57
"36005045600, NY",36005045600,36005045600,9.48
"36081104700, NY",36081104700,36081104700,10.78
"36085005000, NY",36085005000,36085005000,18.32
"36061013500, NY",36061013500,36061013500,23.59
"36085012200, NY",36085012200,36085012200,4.56
"36081091900, NY",36081091900,36081091900,10.66
"36081033000, NY",36081033000,36081033000,15.67
"36085010500, NY",36085010500,36085010500,21.18
"36061012900, NY",36061012900,36061012900,6.42
"36081065501, NY",36081065501,36081065501,N/A
"36047030400, NY",36047030400,36047030400,26.63
"36061023801, NY",36061023801,36061023801,7.75
"36047004600, NY",36047004600,36047004600,3.31
"36081028800, NY",36081028800,36081028800,11.27
"36085000800, NY",36085000800,36085000800,9.92
"36085016901, NY",36085016901,36085016901,12.01
"36085002002, NY",36085002002,36085002002,6.86
"36085018902, NY",36085018902,36085018902,9.13
"36047105804, NY",36047105804,36047105804,40.22
"36061007900, NY",36061007900,36061007900,0
"36061003900, NY",36061003900,36061003900,4.68
"36085021300, NY",36085021300,36085021300,27.76
"36047057900, NY",36047057900,36047057900,30
"36061000202, NY",36061000202,36061000202,34.14
"36081126700, NY",36081126700,36081126700,10.28
"36081083700, NY",36081083700,36081083700,7.81
"36047118000, NY",36047118000,36047118000,N/A
"36085009601, NY",36085009601,36085009601,6.12
"36081136700, NY",36081136700,36081136700,15.24
"36081068000, NY",36081068000,36081068000,8.26
"36047005000, NY",36047005000,36047005000,1.63
"36081037600, NY",36081037600,36081037600,11.02
"36061000900, NY",36061000900,36061000900,0
"36081033402, NY",36081033402,36081033402,15.75
"36081137700, NY",36081137700,36081137700,9.18
"36047110400, NY",36047110400,36047110400,30.07
"36085012100, NY",36085012100,36085012100,7.09
"36005029600, NY",36005029600,36005029600,4.8
"36081084602, NY",36081084602,36081084602,7.65
"36081157902, NY",36081157902,36081157902,8.77
"36047011900, NY",36047011900,36047011900,15.59
"36085017011, NY",36085017011,36085017011,6.37
"36061031703, NY",36061031703,36061031703,3.16
"36081061301, NY",36081061301,36081061301,10.73
"36005009600, NY",36005009600,36005009600,23.68
"36081060701, NY",36081060701,36081060701,N/A
"36085030301, NY",36085030301,36085030301,4.38
"36081162100, NY",36081162100,36081162100,9.42
"36081103202, NY",36081103202,36081103202,23.44
"36085006400, NY",36085006400,36085006400,19.42
"36005027401, NY",36005027401,36005027401,3.5
"36081161700, NY",36081161700,36081161700,5.3
"36061003700, NY",36061003700,36061003700,0
"36081122701, NY",36081122701,36081122701,7.15
"36005048400, NY",36005048400,36005048400,20.44
"36081130100, NY",36081130100,36081130100,8.82
"36081129104, NY",36081129104,36081129104,2.96
"36081065400, NY",36081065400,36081065400,10.78
"36061015200, NY",36061015200,36061015200,9.95
"36005033500, NY",36005033500,36005033500,1.69
"36061031704, NY",36061031704,36061031704,0.65
"36081133300, NY",36081133300,36081133300,6.86
"36081031700, NY",36081031700,36081031700,8.39
"36081120700, NY",36081120700,36081120700,14.87
"36081063700, NY",36081063700,36081063700,2.38
"36081063800, NY",36081063800,36081063800,11.43
"36081097300, NY",36081097300,36081097300,5.29
"36081157903, NY",36081157903,36081157903,5.87
"36081099704, NY",36081099704,36081099704,5.61
"36047030800, NY",36047030800,36047030800,21.89
"36085014607, NY",36085014607,36085014607,7.49
"36047034800, NY",36047034800,36047034800,30.56
"36081038301, NY",36081038301,36081038301,N/A
"36081021600, NY",36081021600,36081021600,7.27
"36061024700, NY",36061024700,36061024700,27.13
"36081101002, NY",36081101002,36081101002,12.66
"36061021100, NY",36061021100,36061021100,14.75
"36061020500, NY",36061020500,36061020500,1.34
"36005035800, NY",36005035800,36005035800,17.15
"36061002400, NY",36061002400,36061002400,57.78
"36081047800, NY",36081047800,36081047800,7.75
"36081105900, NY",36081105900,36081105900,3.07
"36081099703, NY",36081099703,36081099703,1.01
"36081099900, NY",36081099900,36081099900,N/A
"36081025400, NY",36081025400,36081025400,28.11
"36005031000, NY",36005031000,36005031000,9.87
"36061015100, NY",36061015100,36061015100,31.83
"36081121500, NY",36081121500,36081121500,18.58
"36085020100, NY",36085020100,36085020100,15.99
"36081088901, NY",36081088901,36081088901,20.43
"36047069800, NY",36047069800,36047069800,12.12
"36061016300, NY",36061016300,36061016300,0
"36081014202, NY",36081014202,36081014202,7.65
"36085009602, NY",36085009602,36085009602,9.46
"36081103300, NY",36081103300,36081103300,9.87
"36061008601, NY",36061008601,36061008601,0
"36081035200, NY",36081035200,36081035200,8.66
"36081053900, NY",36081053900,36081053900,5.91
"36081086900, NY",36081086900,36081086900,12.76
"36081058000, NY",36081058000,36081058000,12.15
"36081005800, NY",36081005800,36081005800,12.43
"36081020500, NY",36081020500,36081020500,17.36
"36081012301, NY",36081012301,36081012301,3.05
"36085023100, NY",36085023100,36085023100,17.83
"36081134100, NY",36081134100,36081134100,7.21
"36005016300, NY",36005016300,36005016300,N/A
"36085003900, NY",36085003900,36085003900,16.44
"36047048500, NY",36047048500,36047048500,7.27
"36085011402, NY",36085011402,36085011402,4.83
"36081035700, NY",36081035700,36081035700,8.91
"36005030200, NY",36005030200,36005030200,8.08
"36081065600, NY",36081065600,36081065600,22.98
"36081094201, NY",36081094201,36081094201,10.34
"36081084000, NY",36081084000,36081084000,11.7
"36081077902, NY",36081077902,36081077902,3.73
"36005035100, NY",36005035100,36005035100,4.68
"36047005202, NY",36047005202,36047005202,0.8
"36081058200, NY",36081058200,36081058200,9.87
"36081117500, NY",36081117500,36081117500,10.63
"36081033401, NY",36081033401,36081033401,18.61
"36005032300, NY",36005032300,36005032300,5.62
"36061023802, NY",36061023802,36061023802,2.23
"36081140902, NY",36081140902,36081140902,4.88
"36061023700, NY",36061023700,36061023700,31.7
"36081000700, NY",36081000700,36081000700,0.91
"36081047600, NY",36081047600,36081047600,1.85
"36081024300, NY",36081024300,36081024300,13.19
"36081054200, NY",36081054200,36081054200,10.96
"36081142900, NY",36081142900,36081142900,4.16
"36081069400, NY",36081069400,36081069400,11.36
"36081020800, NY",36081020800,36081020800,9.81
"36085027705, NY",36085027705,36085027705,9.5
"36081042600, NY",36081042600,36081042600,N/A
"36085023900, NY",36085023900,36085023900,21.21
"36085027704, NY",36085027704,36085027704,6.66
"36005041400, NY",36005041400,36005041400,18.93
"36085002900, NY",36085002900,36085002900,47.34
"36081066300, NY",36081066300,36081066300,4.71
"36085011401, NY",36085011401,36085011401,42.16
"36005039700, NY",36005039700,36005039700,31.97
"36081029700, NY",36081029700,36081029700,6.88
"36047061002, NY",36047061002,36047061002,11.06
"36081054000, NY",36081054000,36081054000,12.23
"36081053500, NY",36081053500,36081053500,27.51
"36081035800, NY",36081035800,36081035800,13
"36047060800, NY",36047060800,36047060800,13.16
"36005009800, NY",36005009800,36005009800,24.03
"36081042400, NY",36081042400,36081042400,16.12
"36081047200, NY",36081047200,36081047200,3.17
"36081062400, NY",36081062400,36081062400,N/A
"36061023300, NY",36061023300,36061023300,28.22
"36005042600, NY",36005042600,36005042600,16.02
"36047002100, NY",36047002100,36047002100,0
"36081003300, NY",36081003300,36081003300,20.17
"36047107800, NY",36047107800,36047107800,8.48
"36047040700, NY",36047040700,36047040700,N/A
"36047069601, NY",36047069601,36047069601,6.5
"36081102900, NY",36081102900,36081102900,7.91
"36061024200, NY",36061024200,36061024200,36.7
"36081124100, NY",36081124100,36081124100,8.06
"36047111600, NY",36047111600,36047111600,33.83
"36047005602, NY",36047005602,36047005602,5.39
"36081122300, NY",36081122300,36081122300,5.42
"36061006900, NY",36061006900,36061006900,0
"36081083800, NY",36081083800,36081083800,15.09
"36005005100, NY",36005005100,36005005100,59.43
"36085002001, NY",36085002001,36085002001,8.7
"36047033000, NY",36047033000,36047033000,48.48
"36047099800, NY",36047099800,36047099800,8.91
"36005001600, NY",36005001600,36005001600,37.62
"36081061302, NY",36081061302,36081061302,N/A
"36005004200, NY",36005004200,36005004200,42.7
"36081049200, NY",36081049200,36081049200,9.56
"36085024700, NY",36085024700,36085024700,18.94
"36047120800, NY",36047120800,36047120800,20.21
"36081124700, NY",36081124700,36081124700,3.85
"36085007500, NY",36085007500,36085007500,29.98
"36047058900, NY",36047058900,36047058900,5.91
"36081040400, NY",36081040400,36081040400,20.87
"36081049900, NY",36081049900,36081049900,12.12
"36081155101, NY",36081155101,36081155101,0
"36061017800, NY",36061017800,36061017800,14.37
"36061021900, NY",36061021900,36061021900,34.87
"36081041400, NY",36081041400,36081041400,26.79
"36081072300, NY",36081072300,36081072300,0
"36081017900, NY",36081017900,36081017900,4.88
"36085013201, NY",36085013201,36085013201,1.13
"36081087100, NY",36081087100,36081087100,37.23
"36081003700, NY",36081003700,36081003700,N/A
"36081099801, NY",36081099801,36081099801,18.24
"36085012500, NY",36085012500,36085012500,20.62
"36081129103, NY",36081129103,36081129103,8.42
"36081108500, NY",36081108500,36081108500,7.94
"36081122702, NY",36081122702,36081122702,45.65
"36061007500, NY",36061007500,36061007500,0
"36061000700, NY",36061000700,36061000700,0
"36061001002, NY",36061001002,36061001002,44.14
"36081114100, NY",36081114100,36081114100,3.94
"36005018400, NY",36005018400,36005018400,19.16
"36085014608, NY",36085014608,36085014608,4.86
"36081008800, NY",36081008800,36081008800,9.67
"36005002800, NY",36005002800,36005002800,12.08
"36081069702, NY",36081069702,36081069702,10.04
"36081109700, NY",36081109700,36081109700,5.18
"36061008602, NY",36061008602,36061008602,N/A
"36005034800, NY",36005034800,36005034800,29.21
"36081062200, NY",36081062200,36081062200,7
"36047060000, NY",36047060000,36047060000,12.19
"36081080302, NY",36081080302,36081080302,23.45
"36081032900, NY",36081032900,36081032900,16.48
"36085027706, NY",36085027706,36085027706,8.94
"36005033700, NY",36005033700,36005033700,6.34
"36061006000, NY",36061006000,36061006000,1.65
"36047003800, NY",36047003800,36047003800,5.08
"36061000600, NY",36061000600,36061000600,56.5
"36081062600, NY",36081062600,36081062600,21.37
"36081103201, NY",36081103201,36081103201,40.99
"36047114400, NY",36047114400,36047114400,41.94
"36061001501, NY",36061001501,36061001501,13.82
"36081028400, NY",36081028400,36081028400,23.87
"36005026400, NY",36005026400,36005026400,15.66
"36005029302, NY",36005029302,36005029302,1.13
"36081053100, NY",36081053100,36081053100,2.99
"36047096000, NY",36047096000,36047096000,N/A
"36047056300, NY",36047056300,36047056300,21.62
"36061015500, NY",36061015500,36061015500,0
"36081061602, NY",36081061602,36081061602,19.49
"36061019900, NY",36061019900,36061019900,5
"36081147100, NY",36081147100,36081147100,2.29
"36081005400, NY",36081005400,36081005400,11.88
"36047059401, NY",36047059401,36047059401,12.4
"36005031900, NY",36005031900,36005031900,N/A
"36005030000, NY",36005030000,36005030000,11.83
"36081048400, NY",36081048400,36081048400,13.6
"36047105801, NY",36047105801,36047105801,34.63
"36081055200, NY",36081055200,36081055200,4.46
"36005026900, NY",36005026900,36005026900,30.96
"36005018500, NY",36005018500,36005018500,55.58
"36081029900, NY",36081029900,36081029900,N/A
"36061017100, NY",36061017100,36061017100,3.87
"36061018300, NY",36061018300,36061018300,1.98
"36061023600, NY",36061023600,36061023600,22.13
"36005039500, NY",36005039500,36005039500,53.36
"36005038600, NY",36005038600,36005038600,10.94
"36061031900, NY",36061031900,36061031900,N/A
"36081144700, NY",36081144700,36081144700,11.27
"36061017500, NY",36061017500,36061017500,0
"36085003600, NY",36085003600,36085003600,9.84
"36081030902, NY",36081030902,36081030902,14.1
"36061017900, NY",36061017900,36061017900,1.37
"36081030904, NY",36081030904,36081030904,12.02
"36061018700, NY",36061018700,36061018700,9.83
"36047077200, NY",36047077200,36047077200,10.18
"36081064600, NY",36081064600,36081064600,11.67
"36005035600, NY",36005035600,36005035600,15.7
"36047085200, NY",36047085200,36047085200,N/A
"36061019100, NY",36061019100,36061019100,10.44
"36081065000, NY",36081065000,36081065000,16.17
"36081117100, NY",36081117100,36081117100,7.02
"36081022001, NY",36081022001,36081022001,14.94
"36061000800, NY",36061000800,36061000800,38.24
"36005002000, NY",36005002000,36005002000,55.85
"36081006201, NY",36081006201,36081006201,14.72
"36061022500, NY",36061022500,36061022500,40.17
"36081059500, NY",36081059500,36081059500,11.77
"36005030701, NY",36005030701,36005030701,3.05
"36047007700, NY",36047007700,36047007700,5.45
"36081097204, NY",36081097204,36081097204,41.83
"36047152200, NY",36047152200,36047152200,14.63
"36005014400, NY",36005014400,36005014400,34.88
"36061024100, NY",36061024100,36061024100,24.28
"36081047900, NY",36081047900,36081047900,21.19
"36085031901, NY",36085031901,36085031901,60.6
"36081066000, NY",36081066000,36081066000,17
"36061019500, NY",36061019500,36061019500,9.35
"36081113900, NY",36081113900,36081113900,12.56
"36081034700, NY",36081034700,36081034700,16.58
"36081109900, NY",36081109900,36081109900,4.3
"36081077904, NY",36081077904,36081077904,8.07
"36061001502, NY",36061001502,36061001502,0
"36047005601, NY",36047005601,36047005601,6.47
"36085018701, NY",36085018701,36085018701,11.99
"36081140300, NY",36081140300,36081140300,2.1
"36081044000, NY",36081044000,36081044000,23.31
"36047035400, NY",36047035400,36047035400,20.71
"36081061601, NY",36081061601,36081061601,16.48
"36081081800, NY",36081081800,36081081800,19.35
"36081051200, NY",36081051200,36081051200,21.12
"36081071100, NY",36081071100,36081071100,2.26
"36081021400, NY",36081021400,36081021400,12.79
"36061019200, NY",36061019200,36061019200,37.77
"36081145900, NY",36081145900,36081145900,5.38
"36047094401, NY",36047094401,36047094401,7.13
"36081036600, NY",36081036600,36081036600,19.58
"36047056100, NY",36047056100,36047056100,11.47
"36005044400, NY",36005044400,36005044400,16.63
"36081032800, NY",36081032800,36081032800,21.64
"36081081400, NY",36081081400,36081081400,18.73
"36061011700, NY",36061011700,36061011700,12.5
"36081139900, NY",36081139900,36081139900,6.46
"36081050700, NY",36081050700,36081050700,6.5
"36081079200, NY",36081079200,36081079200,14.56
"36081074900, NY",36081074900,36081074900,1.4
"36047005900, NY",36047005900,36047005900,13.19
"36081075702, NY",36081075702,36081075702,3.6
"36081112900, NY",36081112900,36081112900,1.93
"36081146700, NY",36081146700,36081146700,3.95
"36081143500, NY",36081143500,36081143500,6.94
"36047062200, NY",36047062200,36047062200,7.9
"36005011502, NY",36005011502,36005011502,57.27
"36047062000, NY",36047062000,36047062000,4.1
"36005043400, NY",36005043400,36005043400,27.4
"36081030903, NY",36081030903,36081030903,14.95
"36005020000, NY",36005020000,36005020000,27.31
"36005018900, NY",36005018900,36005018900,53.23
"36081145102, NY",36081145102,36081145102,5.5
"36081069000, NY",36081069000,36081069000,24.13
"36061022900, NY",36061022900,36061022900,38.55
"36081048900, NY",36081048900,36081048900,13.32
"36081039400, NY",36081039400,36081039400,14.21
"36047098200, NY",36047098200,36047098200,42.83
"36005023800, NY",36005023800,36005023800,49.1
"36085017300, NY",36085017300,36085017300,33.29
"36061003300, NY",36061003300,36061003300,3.94
"36081048500, NY",36081048500,36081048500,2.6
"36081144100, NY",36081144100,36081144100,11.41
"36061016700, NY",36061016700,36061016700,1.17
"36005028800, NY",36005028800,36005028800,0.12
"36047037000, NY",36047037000,36047037000,10.25
"36047002200, NY",36047002200,36047002200,26.31
"36081050000, NY",36081050000,36081050000,16.26
"36005032600, NY",36005032600,36005032600,10.31
"36081084601, NY",36081084601,36081084601,6.1
"36061024302, NY",36061024302,36061024302,51.46
"36081125700, NY",36081125700,36081125700,19.38
"36061021000, NY",36061021000,36061021000,42.93
"36061013600, NY",36061013600,36061013600,0
"36047004700, NY",36047004700,36047004700,2.3
"36061001001, NY",36061001001,36061001001,1.61
"36005006000, NY",36005006000,36005006000,47.1
"36005041900, NY",36005041900,36005041900,32.42
"36081066501, NY",36081066501,36081066501,2.05
"36047032600, NY",36047032600,36047032600,55
"36047119800, NY",36047119800,36047119800,57.14
"36081146300, NY",36081146300,36081146300,8.03
"36081008600, NY",36081008600,36081008600,14.46
"36047005201, NY",36047005201,36047005201,15.49
"36081023200, NY",36081023200,36081023200,10.97
"36085001100, NY",36085001100,36085001100,50.31
"36081080301, NY",36081080301,36081080301,18.93
"36061022301, NY",36061022301,36061022301,37.18
"36047030500, NY",36047030500,36047030500,37.42
"36005021800, NY",36005021800,36005021800,41.54
"36047059402, NY",36047059402,36047059402,16
"36047080800, NY",36047080800,36047080800,87.01
"36005015700, NY",36005015700,36005015700,61.32
"36047123700, NY",36047123700,36047123700,63.72
"36047045300, NY",36047045300,36047045300,27.74
"36061011600, NY",36061011600,36061011600,0
"36047062600, NY",36047062600,36047062600,22.56
"36047150200, NY",36047150200,36047150200,12.29
"36081056700, NY",36081056700,36081056700,6.04
"36061021703, NY",36061021703,36061021703,N/A
"36081115700, NY",36081115700,36081115700,10.67
"36081092500, NY",36081092500,36081092500,11.66
"36081047500, NY",36081047500,36081047500,6.99
"36081157102, NY",36081157102,36081157102,4.17
"36061001300, NY",36061001300,36061001300,0
"36085014100, NY",36085014100,36085014100,14.24
"36005009200, NY",36005009200,36005009200,40.04
"36081115900, NY",36081115900,36081115900,10.8
"36047010100, NY",36047010100,36047010100,23.27
"36081114700, NY",36081114700,36081114700,2.82
"36005007800, NY",36005007800,36005007800,38.18
"36081064500, NY",36081064500,36081064500,5.45
"36061030900, NY",36061030900,36061030900,44.24
"36005026602, NY",36005026602,36005026602,26.71
"36047119600, NY",36047119600,36047119600,35.97
"36047001500, NY",36047001500,36047001500,25.73
"36005015200, NY",36005015200,36005015200,17.37
"36081084900, NY",36081084900,36081084900,10.78
"36081024600, NY",36081024600,36081024600,N/A
"36085001700, NY",36085001700,36085001700,23.6
"36005016600, NY",36005016600,36005016600,9.93
"36081022002, NY",36081022002,36081022002,10.66
"36047076800, NY",36047076800,36047076800,18.93
"36081015801, NY",36081015801,36081015801,18.13
"36081019400, NY",36081019400,36081019400,20.09
"36047037402, NY",36047037402,36047037402,31.12
"36085019700, NY",36085019700,36085019700,2.21
"36081038400, NY",36081038400,36081038400,20.7
"36081115100, NY",36081115100,36081115100,1.35
"36047114201, NY",36047114201,36047114201,39.54
"36081063200, NY",36081063200,36081063200,6.47
"36047090800, NY",36047090800,36047090800,70.82
"36047029200, NY",36047029200,36047029200,25.92
"36081074700, NY",36081074700,36081074700,17.14
"36005042500, NY",36005042500,36005042500,50.61
